Borough,Ethnicity,Proportion_PAS,Proportion_Census,Difference
Barking & Dagenham,White British,0.448621554,0.308636335,0.139985219
Barking & Dagenham,Black,0.175438596,0.213861449,-0.038422853
Barking & Dagenham,Asian,0.157894737,0.258514342,-0.100619605
Barking & Dagenham,White Other,0.135338346,0.1403827,-0.005044354
Barking & Dagenham,Mixed,0.032581454,0.042587702,-0.010006248
Barking & Dagenham,Other,0.007518797,0.036017472,-0.028498675
Barnet,White British,0.476426799,0.361574854,0.114851945
Barnet,White Other,0.200992556,0.215708987,-0.014716432
Barnet,Asian,0.11662531,0.192554656,-0.075929346
Barnet,Black,0.084367246,0.078729864,0.005637382
Barnet,Other,0.044665012,0.097779855,-0.053114843
Barnet,Mixed,0.029776675,0.053651784,-0.023875109
Bexley,White British,0.716080402,0.644462657,0.071617745
Bexley,Black,0.09798995,0.122021974,-0.024032024
Bexley,White Other,0.072864322,0.074332987,-0.001468666
Bexley,Asian,0.052763819,0.099134993,-0.046371174
Bexley,Mixed,0.025125628,0.035452303,-0.010326675
Bexley,Other,0.002512563,0.024595086,-0.022082523
Brent,Asian,0.327411168,0.328153094,-0.000741927
Brent,White Other,0.192893401,0.194487033,-0.001593632
Brent,White British,0.177664975,0.151878805,0.025786169
Brent,Black,0.170050761,0.175079528,-0.005028767
Brent,Other,0.045685279,0.099641866,-0.053956587
Brent,Mixed,0.020304569,0.050759674,-0.030455105
Bromley,White British,0.74559194,0.665148443,0.080443496
Bromley,White Other,0.080604534,0.099402711,-0.018798177
Bromley,Black,0.057934509,0.076211169,-0.018276661
Bromley,Asian,0.042821159,0.082750742,-0.039929583
Bromley,Mixed,0.032745592,0.053759042,-0.02101345
Bromley,Other,0.010075567,0.022727893,-0.012652326
Camden,White British,0.491183879,0.353807278,0.137376601
Camden,White Other,0.181360202,0.241347312,-0.05998711
Camden,Asian,0.118387909,0.181034278,-0.062646368
Camden,Black,0.083123426,0.089908012,-0.006784587
Camden,Mixed,0.042821159,0.066328157,-0.023506999
Camden,Other,0.020151134,0.067574963,-0.047423829
Croydon,White British,0.486146096,0.374355995,0.111790101
Croydon,Black,0.17884131,0.226346812,-0.047505502
Croydon,Asian,0.156171285,0.17528454,-0.019113255
Croydon,White Other,0.098236776,0.109329211,-0.011092435
Croydon,Mixed,0.040302267,0.076123762,-0.035821495
Croydon,Other,0.007556675,0.038559681,-0.031003006
Ealing,White British,0.37279597,0.243152691,0.129643279
Ealing,Asian,0.20906801,0.303011318,-0.093943308
Ealing,White Other,0.206549118,0.188491345,0.018057774
Ealing,Black,0.090680101,0.107571197,-0.016891096
Ealing,Mixed,0.04534005,0.052193454,-0.006853404
Ealing,Other,0.037783375,0.105579995,-0.06779662
Enfield,White British,0.43358396,0.312562503,0.121021456
Enfield,White Other,0.197994987,0.208323484,-0.010328497
Enfield,Black,0.145363409,0.183376669,-0.038013261
Enfield,Asian,0.107769424,0.115075974,-0.00730655
Enfield,Mixed,0.052631579,0.059266869,-0.00663529
Enfield,Other,0.020050125,0.1213945,-0.101344375
Greenwich,White British,0.491139241,0.41396834,0.077170901
Greenwich,Black,0.182278481,0.209646173,-0.027367692
Greenwich,White Other,0.141772152,0.143021711,-0.001249559
Greenwich,Asian,0.088607595,0.131557281,-0.042949686
Greenwich,Mixed,0.040506329,0.059837132,-0.019330803
Greenwich,Other,0.007594937,0.041969364,-0.034374427
Hackney,White British,0.355889724,0.339292605,0.016597119
Hackney,Black,0.213032581,0.210864062,0.002168519
Hackney,White Other,0.195488722,0.192098724,0.003389998
Hackney,Asian,0.097744361,0.103743807,-0.005999446
Hackney,Mixed,0.065162907,0.067478815,-0.002315908
Hackney,Other,0.010025063,0.086521987,-0.076496925
Hammersmith & Fulham,White British,0.494949495,0.382752784,0.11219671
Hammersmith & Fulham,White Other,0.207070707,0.248820703,-0.041749996
Hammersmith & Fulham,Black,0.126262626,0.122586809,0.003675817
Hammersmith & Fulham,Asian,0.058080808,0.10540511,-0.047324302
Hammersmith & Fulham,Other,0.032828283,0.073176458,-0.040348175
Hammersmith & Fulham,Mixed,0.03030303,0.067258135,-0.036955105
Haringey,White British,0.420654912,0.319023002,0.10163191
Haringey,White Other,0.219143577,0.250845828,-0.031702252
Haringey,Black,0.168765743,0.175849045,-0.007083302
Haringey,Asian,0.068010076,0.087345499,-0.019335424
Haringey,Mixed,0.035264484,0.07022457,-0.034960087
Haringey,Other,0.022670025,0.096712055,-0.07404203
Harrow,White British,0.378446115,0.205078043,0.173368073
Harrow,Asian,0.363408521,0.45233018,-0.088921659
Harrow,White Other,0.130325815,0.159515779,-0.029189964
Harrow,Black,0.05764411,0.073318453,-0.015674343
Harrow,Mixed,0.027568922,0.03764505,-0.010076128
Harrow,Other,0.01754386,0.072112495,-0.054568635
Havering,White British,0.755,0.664875674,0.090124326
Havering,Asian,0.0625,0.107421428,-0.044921428
Havering,Black,0.0575,0.082300459,-0.024800459
Havering,White Other,0.0525,0.088081755,-0.035581755
Havering,Mixed,0.0325,0.037194908,-0.004694908
Havering,Other,0.0025,0.020125777,-0.017625777
Hillingdon,White British,0.541147132,0.37062329,0.170523842
Hillingdon,Asian,0.234413965,0.333229817,-0.098815852
Hillingdon,White Other,0.097256858,0.111176853,-0.013919995
Hillingdon,Black,0.06234414,0.078314139,-0.01597
Hillingdon,Mixed,0.017456359,0.04366985,-0.02621349
Hillingdon,Other,0.012468828,0.062986051,-0.050517223
Hounslow,White British,0.408060453,0.284310902,0.123749552
Hounslow,Asian,0.317380353,0.367290002,-0.049909649
Hounslow,White Other,0.108312343,0.156672369,-0.048360027
Hounslow,Black,0.070528967,0.072211561,-0.001682594
Hounslow,Mixed,0.027707809,0.046894139,-0.019186331
Hounslow,Other,0.025188917,0.072621026,-0.047432109
Islington,White British,0.515075377,0.397490177,0.1175852
Islington,White Other,0.206030151,0.224669766,-0.018639615
Islington,Black,0.133165829,0.132707571,0.000458259
Islington,Mixed,0.050251256,0.074939171,-0.024687914
Islington,Asian,0.037688442,0.099414098,-0.061725655
Islington,Other,0.012562814,0.070779218,-0.058216404
Kensington & Chelsea,White British,0.475,0.327000202,0.147999798
Kensington & Chelsea,White Other,0.1975,0.310455944,-0.112955944
Kensington & Chelsea,Black,0.0925,0.078668927,0.013831073
Kensington & Chelsea,Asian,0.0625,0.118746207,-0.056246207
Kensington & Chelsea,Other,0.06,0.098693617,-0.038693617
Kensington & Chelsea,Mixed,0.035,0.066435103,-0.031435103
Kingston upon Thames,White British,0.668341709,0.537227111,0.131114597
Kingston upon Thames,White Other,0.128140704,0.146034523,-0.017893819
Kingston upon Thames,Asian,0.095477387,0.17812963,-0.082652243
Kingston upon Thames,Mixed,0.027638191,0.053527546,-0.025889355
Kingston upon Thames,Other,0.022613065,0.05687748,-0.034264415
Kingston upon Thames,Black,0.020100503,0.028203709,-0.008103207
Lambeth,White British,0.41,0.375867301,0.034132699
Lambeth,Black,0.235,0.239712012,-0.004712012
Lambeth,White Other,0.195,0.174351177,0.020648823
Lambeth,Mixed,0.0475,0.080692078,-0.033192078
Lambeth,Other,0.035,0.056810598,-0.021810598
Lambeth,Asian,0.0325,0.072566834,-0.040066834
Lewisham,White British,0.425692695,0.371734769,0.053957926
Lewisham,Black,0.269521411,0.267749781,0.001771629
Lewisham,White Other,0.153652393,0.143146134,0.010506259
Lewisham,Asian,0.060453401,0.08959152,-0.029138119
Lewisham,Mixed,0.047858942,0.080694586,-0.032835644
Lewisham,Other,0.007556675,0.04708321,-0.039526535
Merton,White British,0.527638191,0.412074149,0.115564041
Merton,White Other,0.173366834,0.190271717,-0.016904883
Merton,Asian,0.148241206,0.18597313,-0.037731924
Merton,Black,0.09798995,0.106358655,-0.008368706
Merton,Mixed,0.027638191,0.059320498,-0.031682307
Merton,Other,0.005025126,0.04600185,-0.040976724
Newham,Asian,0.335858586,0.422147586,-0.086289
Newham,White British,0.214646465,0.147617338,0.067029126
Newham,Black,0.181818182,0.174640208,0.007177974
Newham,White Other,0.166666667,0.159892433,0.006774234
Newham,Mixed,0.045454545,0.046775829,-0.001321284
Newham,Other,0.012626263,0.048926606,-0.036300343
Redbridge,Asian,0.332493703,0.473261136,-0.140767433
Redbridge,White British,0.317380353,0.231560627,0.085819726
Redbridge,White Other,0.143576826,0.116450719,0.027126107
Redbridge,Black,0.123425693,0.084103655,0.039322038
Redbridge,Mixed,0.027707809,0.041049442,-0.013341634
Redbridge,Other,0.010075567,0.053574421,-0.043498855
Richmond Upon Thames,White British,0.768261965,0.630347505,0.13791446
Richmond Upon Thames,White Other,0.123425693,0.174192689,-0.050766997
Richmond Upon Thames,Asian,0.037783375,0.08944684,-0.051663465
Richmond Upon Thames,Black,0.022670025,0.018896138,0.003773887
Richmond Upon Thames,Mixed,0.01511335,0.054599084,-0.039485734
Richmond Upon Thames,Other,0.010075567,0.032517744,-0.022442177
Southwark,White British,0.40201005,0.355133777,0.046876273
Southwark,Black,0.261306533,0.251268532,0.010038
Southwark,White Other,0.173366834,0.159170326,0.014196508
Southwark,Mixed,0.057788945,0.071999974,-0.014211029
Southwark,Asian,0.055276382,0.099268948,-0.043992566
Southwark,Other,0.012562814,0.063158442,-0.050595628
Sutton,White British,0.703517588,0.572479357,0.131038231
Sutton,White Other,0.103015075,0.110337294,-0.007322219
Sutton,Asian,0.092964824,0.175492156,-0.082527331
Sutton,Black,0.037688442,0.059459356,-0.021770914
Sutton,Mixed,0.015075377,0.048473805,-0.033398428
Sutton,Other,0.007537688,0.033758032,-0.026220343
Tower Hamlets,Asian,0.383458647,0.444254666,-0.06079602
Tower Hamlets,White British,0.293233083,0.229378287,0.063854796
Tower Hamlets,White Other,0.137844612,0.164648216,-0.026803604
Tower Hamlets,Black,0.07518797,0.07313151,0.00205646
Tower Hamlets,Mixed,0.040100251,0.04965131,-0.009551059
Tower Hamlets,Other,0.015037594,0.038936011,-0.023898417
Waltham Forest,White British,0.399497487,0.340363328,0.059134159
Waltham Forest,White Other,0.206030151,0.187694396,0.018335754
Waltham Forest,Asian,0.175879397,0.199496455,-0.023617058
Waltham Forest,Black,0.123115578,0.14958014,-0.026464562
Waltham Forest,Mixed,0.047738693,0.064588077,-0.016849384
Waltham Forest,Other,0.010050251,0.058277603,-0.048227352
Westminster,White British,0.441102757,0.279882097,0.16122066
Westminster,White Other,0.182957393,0.272087193,-0.0891298
Westminster,Asian,0.137844612,0.167658983,-0.029814371
Westminster,Other,0.087719298,0.13450616,-0.046786861
Westminster,Black,0.05764411,0.080568558,-0.022924448
Westminster,Mixed,0.032581454,0.065297009,-0.032715556
